,omm_id,hydro_year,helio,hr,nub,pres_est,pres_nm,td,tmax,tmed,tmin,vmax_d,vmax_f,vmed,caudal,PTA,PMDA
100,87349,1998,7.2,70.8986301369863,3.5863013698630137,976.3531506849316,1015.5498630136987,10.725753424657535,23.6158904109589,16.95150684931507,10.903561643835618,16.92054794520548,5.724109589041096,2.0791780821917807,,766.8,80.8
101,87349,1999,6.893715846994535,72.27049180327869,3.773224043715847,976.1136612021858,1015.3393442622951,10.793715846994536,23.043442622950817,16.693715846994536,11.081147540983606,21.75136612021858,5.688524590163935,2.34344262295082,,998.3,111.5
102,87349,2000,7.299452054794521,73.25753424657535,3.6082191780821917,974.9989041095889,1014.1750684931508,11.204931506849315,23.372602739726027,16.78109589041096,11.56958904109589,22.986301369863014,7.234246575342466,2.99013698630137,,999.0,63.0
103,87349,2001,6.736986301369863,73.76438356164384,4.052054794520548,975.2180821917808,1014.3591780821918,11.597260273972603,23.32191780821918,17.014794520547945,12.21041095890411,22.602739726027398,6.2715068493150685,2.641369863013699,,833.2,78.0
104,87349,2002,7.330684931506849,71.03287671232877,3.835616438356164,975.0613698630137,1014.1813698630137,10.968767123287671,23.885205479452054,17.15013698630137,11.87945205479452,20.493150684931507,6.708219178082191,2.6536986301369865,,807.1,65.0
105,87349,2003,7.536065573770491,66.09562841530055,3.6475409836065573,976.1084699453552,1015.260655737705,9.627868852459017,24.20191256830601,17.2120218579235,11.70928961748634,20.729508196721312,7.271584699453552,2.8218579234972676,,649.4,87.0
106,87349,2004,7.743287671232877,67.9013698630137,3.7013698630136984,975.489315068493,1014.6257534246575,10.052876712328768,24.05780821917808,17.025479452054796,11.497808219178081,20.293150684931508,6.543287671232878,2.8221917808219175,,918.5,100.0
107,87349,2005,7.34986301369863,69.33972602739726,3.7205479452054795,975.9673972602739,1015.1564383561644,10.357808219178082,23.60027397260274,16.90684931506849,11.548493150684932,22.95068493150685,5.82904109589041,2.3808219178082193,,762.6,71.0
108,87349,2006,7.059065934065934,69.83013698630137,3.621917808219178,974.9813698630137,1014.071506849315,10.753150684931507,23.903013698630136,17.284931506849315,12.03178082191781,24.186301369863013,4.929315068493151,1.7095890410958905,,936.8000000000001,101.0
109,87349,2007,7.855769230769231,66.10655737704919,3.0437158469945356,975.5161202185793,1014.7262295081966,9.148633879781421,24.06229508196721,16.65983606557377,10.886338797814208,22.762295081967213,4.717213114754099,1.716120218579235,,586.0,45.0
110,87349,2008,8.114794520547946,63.05205479452055,2.841095890410959,975.886301369863,1015.0994520547945,9.601917808219177,25.54301369863014,17.91260273972603,11.921095890410959,22.101369863013698,4.8780821917808215,1.6027397260273972,,494.4,50.0
